monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,age,missing_parking,f_minimart,f_gymnasium,f_security,f_playground,f_swimming_pool,f_parking,f_lift,f_barbeque_area,f_multipurpose_hall,f_jogging_track,f_squash_court,f_sauna,f_club_house,f_tennis_court,missing_facilities,a_air_cond,a_cooking_allowed,a_washing_machine,a_near_ktm_lrt,a_internet,missing_amenities
3300,2000.0,1250.0,3,1,2,950,2,1,4,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0
2000,2000.0,1650.0,1,1,1,600,2,1,9,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2500,2200.0,1600.0,3,1,2,1000,2,1,26,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0
1500,1550.0,1600.0,3,1,2,1000,2,1,26,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0
2500,1500.0,1650.0,3,1,2,850,1,1,3,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1500,1780.0,1600.0,3,2,2,1062,1,1,14,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
1800,1550.0,1600.0,3,1,2,850,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0
850,1500.0,1250.0,3,1,2,850,0,1,34,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3700,1800.0,1600.0,3,2,2,1325,2,1,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
999,1500.0,1600.0,3,1,2,962,0,1,17,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
2100,1700.0,1600.0,3,2,2,925,2,1,2,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0
4500,3300.0,1600.0,4,1,3,1690,2,1,26,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0
1550,2600.0,1650.0,1,1,1,570,2,1,7,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2300,1550.0,1650.0,3,1,2,1050,2,1,3,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0
1500,1800.0,1650.0,3,1,2,900,1,1,7,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0
2499,1700.0,1650.0,4,3,2,1100,1,1,2,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
4000,2050.0,1600.0,4,1,4,2200,2,1,20,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0
1100,1550.0,1650.0,2,1,2,650,1,1,3,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1750,1550.0,1650.0,3,1,2,819,1,1,3,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0
1800,1550.0,1650.0,1,1,2,762,1,1,7,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1
2200,2800.0,1600.0,1,1,1,638,2,1,10,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
1700,1850.0,1600.0,3,1,2,1072,1,1,9,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0
1948,1600.0,1650.0,2,1,2,990,2,1,18,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0
1300,1800.0,1250.0,3,1,2,850,1,1,3,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
2200,1550.0,1600.0,3,2,2,850,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0
1600,1650.0,1650.0,3,2,2,1020,1,1,9,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1400,1550.0,1650.0,3,1,2,850,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
1800,1700.0,1600.0,3,1,2,1066,2,1,17,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
1400,1550.0,1200.0,1,1,1,450,2,1,8,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0
1800,1550.0,1600.0,3,1,2,850,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0
550,1700.0,1650.0,4,1,3,1300,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0
1500,1800.0,1600.0,3,1,2,1100,1,1,20,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0
1600,1800.0,1600.0,3,1,2,1100,2,1,20,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0
1400,1500.0,1250.0,3,1,2,650,1,1,18,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0
1800,1700.0,1600.0,3,1,2,1200,2,1,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
1100,1550.0,1650.0,2,1,2,650,0,1,3,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
1488,1550.0,1650.0,3,1,2,819,1,1,3,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
2200,1700.0,1250.0,3,1,2,829,2,1,6,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1
1500,1800.0,1600.0,3,2,2,1100,2,1,20,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0
1200,1700.0,1600.0,3,1,2,931,1,1,21,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
1600,1700.0,1600.0,4,1,2,1421,1,1,24,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1800,1700.0,1600.0,3,1,2,1076,2,1,17,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
1600,1550.0,1600.0,4,1,2,1142,1,1,9,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
3200,1800.0,1650.0,2,1,2,750,2,1,3,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1600,1700.0,1600.0,4,1,2,1328,0,1,16,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
1700,1700.0,1650.0,3,1,2,900,2,1,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1800,1700.0,1600.0,3,1,2,1067,2,1,17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1300,1550.0,1650.0,2,1,2,650,1,1,3,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
1100,1700.0,1600.0,3,1,2,820,1,1,29,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0
2000,1800.0,1600.0,3,1,2,1018,2,1,11,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0
1700,2200.0,1650.0,2,1,1,726,1,1,11,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0
2500,1500.0,1650.0,3,1,2,850,2,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0
1700,1600.0,1250.0,1,1,1,450,2,1,5,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0
2100,2000.0,1650.0,1,1,1,560,2,1,12,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
1400,1550.0,1600.0,3,2,2,865,2,1,10,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0
1400,1500.0,1650.0,3,2,2,932,1,1,4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0
1350,1500.0,1650.0,3,1,2,1095,0,1,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
1880,1800.0,1650.0,3,1,2,1290,1,1,17,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0
1800,2000.0,1600.0,3,2,3,1298,1,1,7,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1
2000,2200.0,1600.0,4,2,3,1492,1,1,8,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1
2800,2200.0,1600.0,3,2,3,1610,2,1,8,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1
1800,1550.0,1600.0,4,1,2,1142,1,1,9,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1200,1550.0,1600.0,3,2,2,975,1,1,25,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
1400,1550.0,1650.0,2,2,2,650,0,1,3,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
3300,1700.0,1600.0,4,2,3,1118,2,1,2,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0
2600,2000.0,1650.0,2,1,1,805,2,1,12,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0
1400,1800.0,1500.0,1,1,1,775,1,1,13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0
1700,1780.0,1600.0,3,1,2,1300,1,1,14,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0
1800,1700.0,1650.0,2,1,2,804,2,1,2,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1
2800,2000.0,1650.0,3,2,2,1033,2,1,3,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
3800,1800.0,1600.0,2,1,2,1400,2,1,16,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1
2000,2050.0,1650.0,2,1,2,900,2,1,17,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1
1200,1700.0,1250.0,3,1,2,1035,1,1,6,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
1500,1800.0,1600.0,3,1,2,1050,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
2300,1550.0,1600.0,4,2,3,1000,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0
1400,1550.0,1600.0,3,1,2,920,1,1,25,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1750,1500.0,1250.0,3,1,2,1010,2,1,18,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0
1700,1500.0,1250.0,3,1,2,819,2,1,4,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1350,1500.0,1650.0,3,1,2,1150,1,1,7,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
1800,1800.0,1600.0,2,1,2,880,2,1,11,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0
1800,1700.0,1650.0,3,1,2,850,1,1,2,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
5800,3300.0,1600.0,7,3,7,3488,1,1,17,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0
1500,1800.0,1650.0,1,1,1,680,2,1,6,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0
1250,1800.0,1250.0,3,1,2,850,1,1,3,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1
2800,1500.0,1650.0,3,1,2,850,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2500,1500.0,1650.0,3,1,2,850,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1850,1550.0,1650.0,3,1,2,1050,2,1,7,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
3500,1800.0,1650.0,2,1,1,750,2,1,3,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1499,1700.0,1250.0,3,2,2,928,1,1,5,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0
1500,1500.0,1250.0,3,1,2,1100,1,1,18,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0
1600,1550.0,1600.0,3,1,2,1142,1,1,9,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2600,1550.0,1600.0,3,2,2,850,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0
1700,1700.0,1600.0,3,2,2,1200,1,1,7,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1
4800,3700.0,1600.0,3,1,4,1717,2,1,8,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0
1799,1700.0,1600.0,4,2,3,1362,1,1,10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1000,1550.0,1650.0,3,1,2,819,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0
4600,3300.0,1600.0,3,2,2,1548,2,1,5,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0
2300,1550.0,1600.0,3,3,2,850,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0
1250,1700.0,1250.0,3,1,2,1043,1,1,17,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1800,1700.0,1600.0,3,1,2,1125,2,1,17,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0
3500,1550.0,1650.0,2,1,2,1121,2,1,7,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0
1700,1500.0,1250.0,3,1,2,1065,2,1,18,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
2500,1500.0,1650.0,3,1,2,850,2,1,3,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
2400,1500.0,1650.0,4,2,2,1001,1,1,3,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
1800,1700.0,1600.0,3,2,2,1000,2,1,2,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0
1300,1800.0,1600.0,2,1,2,837,2,1,24,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0
1800,1500.0,1600.0,3,1,2,1100,2,1,10,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0
2200,1700.0,1600.0,1,1,1,700,2,1,7,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
2000,1700.0,1250.0,4,2,2,950,2,1,3,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
999,1550.0,1650.0,2,1,2,650,1,1,3,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
800,1500.0,1250.0,3,1,2,700,1,1,9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1900,1700.0,1600.0,4,2,2,950,1,1,3,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1
1300,1500.0,1600.0,4,1,2,1000,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1800,1700.0,1600.0,3,1,2,1076,2,1,17,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
1900,1600.0,1250.0,2,1,2,678,2,1,5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0
